Brand,Model,Year,Engine_Size,Fuel_Type,Transmission,Mileage,Doors,Owner_Count,Price
Toyota,COROLLA,2014,2.8,Hybrid,Automatic,190214,5,2,9795
Ford,EXPLORER,2013,5.0,Electric,Automatic,188195,5,3,12736
Audi,A4,2010,2.0,Hybrid,Manual,228204,3,4,5535
Bmw,5 SERIES,2001,2.3,Diesel,Semi-automatic,66264,2,1,5374
Toyota,CAMRY,2022,4.5,Electric,Semi-automatic,162696,4,2,13946
Chevrolet,MALIBU,2005,2.2,Diesel,Manual,191462,2,4,3970
Honda,ACCORD,2001,4.0,Diesel,Manual,8958,5,1,8220
Hyundai,ELANTRA,2012,2.6,Hybrid,Manual,11213,5,5,11075
Honda,ACCORD,2003,3.8,Electric,Semi-automatic,236022,3,2,6079
Chevrolet,EQUINOX,2019,3.9,Hybrid,Semi-automatic,13333,5,1,14433
Mercedes,C-CLASS,2023,4.6,Electric,Semi-automatic,274137,2,3,12117
Volkswagen,PASSAT,2010,3.4,Diesel,Manual,8662,4,3,10326
Bmw,3 SERIES,2018,2.3,Electric,Semi-automatic,99243,3,3,11815
Ford,FIESTA,2013,3.5,Hybrid,Semi-automatic,167809,2,3,9143
Honda,CR-V,2018,3.0,Hybrid,Semi-automatic,180938,4,3,9881
Mercedes,C-CLASS,2018,4.0,Petrol,Manual,66347,3,2,12173
Honda,CIVIC,2007,1.4,Petrol,Manual,279031,5,3,2019
Chevrolet,EQUINOX,2013,2.8,Petrol,Manual,63430,4,5,9531
Bmw,3 SERIES,2014,2.1,Petrol,Manual,191744,5,1,6565
Mercedes,E-CLASS,2023,3.9,Hybrid,Semi-automatic,58107,3,2,14737
Bmw,X5,2002,4.5,Diesel,Manual,86763,2,5,7464
Volkswagen,GOLF,2020,3.8,Diesel,Automatic,257521,3,3,10249
Toyota,COROLLA,2013,4.0,Diesel,Manual,213052,4,4,7738
Bmw,3 SERIES,2017,1.9,Petrol,Semi-automatic,117943,2,4,8741
Volkswagen,TIGUAN,2008,4.5,Electric,Semi-automatic,178837,3,4,9423
Toyota,COROLLA,2002,3.9,Diesel,Semi-automatic,281616,2,3,2967
Chevrolet,MALIBU,2013,1.4,Diesel,Automatic,131485,3,5,8270
Audi,A4,2013,3.9,Electric,Manual,21399,5,3,13472
Mercedes,C-CLASS,2020,3.7,Petrol,Semi-automatic,148489,3,5,10830
Chevrolet,EQUINOX,2017,3.1,Electric,Manual,189399,5,4,10512
Volkswagen,TIGUAN,2008,3.5,Petrol,Semi-automatic,179107,2,3,6417
Volkswagen,PASSAT,2015,4.7,Diesel,Manual,220366,5,1,8892
Kia,OPTIMA,2020,4.7,Petrol,Manual,132200,2,1,12156
Chevrolet,IMPALA,2009,1.8,Diesel,Automatic,151249,4,1,7075
Chevrolet,IMPALA,2009,2.0,Petrol,Manual,184695,5,1,5106
Volkswagen,GOLF,2001,4.1,Petrol,Automatic,32602,3,4,9347
Audi,A3,2013,3.2,Electric,Manual,253611,2,4,8127
Toyota,RAV4,2020,4.3,Hybrid,Manual,187223,5,3,11655
Mercedes,E-CLASS,2004,3.0,Hybrid,Manual,232438,3,3,4651
Toyota,CAMRY,2019,4.7,Petrol,Manual,114139,5,4,12217
Toyota,RAV4,2004,1.3,Electric,Automatic,79437,4,4,8511
Honda,ACCORD,2019,2.2,Diesel,Manual,127801,5,5,9443
Toyota,CAMRY,2002,1.5,Petrol,Automatic,23115,2,1,7237
Kia,OPTIMA,2010,3.9,Petrol,Automatic,26930,3,3,11961
Toyota,RAV4,2021,2.1,Petrol,Manual,289967,4,3,6700
Ford,FOCUS,2001,3.2,Petrol,Manual,42064,2,3,6758
Hyundai,SONATA,2018,3.5,Electric,Manual,233614,4,2,10327
Ford,EXPLORER,2023,4.1,Electric,Automatic,67072,4,3,17258
Bmw,X5,2017,2.5,Electric,Manual,256380,2,1,8572
Mercedes,C-CLASS,2010,1.9,Petrol,Semi-automatic,159546,2,4,5809
Mercedes,E-CLASS,2014,3.8,Electric,Semi-automatic,5877,5,5,13982
Hyundai,TUCSON,2002,4.9,Hybrid,Automatic,33244,2,2,11435
Chevrolet,IMPALA,2013,4.8,Petrol,Manual,206381,4,4,8672
Honda,CIVIC,2016,4.0,Diesel,Automatic,175833,3,5,10883
Hyundai,TUCSON,2005,3.6,Petrol,Semi-automatic,157073,2,1,6058
Bmw,3 SERIES,2015,2.9,Electric,Automatic,131766,2,3,12364
Ford,EXPLORER,2001,2.2,Petrol,Manual,18630,3,5,6227
Audi,A4,2015,2.1,Diesel,Automatic,54522,3,5,11109
Mercedes,GLA,2013,1.4,Electric,Semi-automatic,231290,3,3,6774
Kia,OPTIMA,2000,3.7,Electric,Manual,166776,2,2,6464
Audi,A3,2002,4.0,Diesel,Manual,16302,5,2,8373
Audi,Q5,2015,2.9,Hybrid,Semi-automatic,252824,3,1,7443
Kia,SPORTAGE,2007,1.2,Hybrid,Automatic,269614,3,4,4507
Kia,SPORTAGE,2000,2.8,Electric,Semi-automatic,264697,2,5,3606
Honda,CR-V,2014,4.0,Petrol,Manual,287926,5,2,6541
Audi,A3,2001,1.8,Petrol,Automatic,43196,5,2,6836
Toyota,RAV4,2001,4.5,Diesel,Semi-automatic,279971,3,1,3300
Hyundai,SONATA,2009,1.0,Petrol,Manual,286745,2,5,2065
Mercedes,C-CLASS,2011,2.3,Electric,Semi-automatic,885,3,2,11682
Honda,CIVIC,2013,3.5,Hybrid,Semi-automatic,93273,2,4,10634
Bmw,X5,2004,3.7,Diesel,Semi-automatic,110947,3,2,6781
Honda,CR-V,2018,1.2,Petrol,Manual,166808,5,2,7363
Audi,Q5,2022,3.8,Diesel,Automatic,186035,4,3,12279
Ford,FIESTA,2005,1.0,Hybrid,Semi-automatic,68819,2,3,6223
Chevrolet,IMPALA,2018,3.7,Petrol,Semi-automatic,157181,5,2,10056
Mercedes,C-CLASS,2007,3.9,Petrol,Semi-automatic,97350,3,3,8153
Volkswagen,PASSAT,2016,3.5,Diesel,Manual,271497,5,4,6970
Toyota,RAV4,2013,4.3,Electric,Semi-automatic,225452,4,5,9790
Kia,OPTIMA,2010,3.8,Petrol,Automatic,51040,5,2,11379
Volkswagen,GOLF,2012,4.2,Electric,Semi-automatic,7544,2,5,13749
Chevrolet,EQUINOX,2009,2.6,Hybrid,Semi-automatic,264411,3,1,5111
Bmw,X5,2012,4.3,Petrol,Manual,153919,5,2,8921
Honda,CR-V,2010,1.7,Petrol,Manual,115344,2,5,6493
Kia,RIO,2009,2.9,Diesel,Semi-automatic,106781,3,2,7564
Hyundai,SONATA,2011,1.0,Petrol,Manual,279545,2,3,2809
Hyundai,SONATA,2020,1.7,Petrol,Manual,11757,3,1,11564
Audi,Q5,2014,2.4,Petrol,Semi-automatic,230787,3,1,6084
Hyundai,ELANTRA,2020,3.7,Hybrid,Automatic,216478,2,1,11970
Mercedes,C-CLASS,2003,2.6,Diesel,Semi-automatic,134567,5,2,4908
Mercedes,C-CLASS,2006,4.5,Electric,Manual,162852,2,3,9142
Bmw,3 SERIES,2023,3.9,Hybrid,Semi-automatic,112480,2,2,13650
Kia,OPTIMA,2017,1.9,Electric,Automatic,60780,2,1,13384
Honda,CR-V,2012,3.2,Diesel,Automatic,21520,4,4,11969
Bmw,5 SERIES,2017,2.1,Diesel,Automatic,199006,3,3,8819
Chevrolet,EQUINOX,2006,2.0,Hybrid,Automatic,11585,5,4,10168
Chevrolet,EQUINOX,2009,2.8,Electric,Manual,79962,3,2,10000
Volkswagen,GOLF,2014,3.9,Electric,Automatic,95537,4,2,13789
Mercedes,GLA,2021,4.3,Diesel,Manual,229873,4,2,10102
Toyota,RAV4,2006,1.3,Hybrid,Manual,195129,4,5,4297
Chevrolet,IMPALA,2011,4.0,Hybrid,Automatic,136926,5,1,11161
Ford,FOCUS,2003,3.2,Petrol,Semi-automatic,85005,3,1,6499
Audi,A4,2017,2.7,Electric,Automatic,172248,3,2,11955
Volkswagen,GOLF,2017,4.3,Petrol,Automatic,179528,2,5,11409
Hyundai,SONATA,2014,2.3,Electric,Manual,1752,4,2,12564
Mercedes,GLA,2008,3.2,Electric,Manual,25557,5,4,11188
Bmw,5 SERIES,2007,3.9,Hybrid,Automatic,211162,5,5,8376
Audi,A3,2014,4.0,Petrol,Automatic,182364,5,5,10152
Hyundai,SONATA,2010,1.6,Petrol,Automatic,112946,2,5,7941
Ford,FOCUS,2009,2.1,Petrol,Automatic,122067,4,4,7958
Toyota,RAV4,2008,3.5,Electric,Semi-automatic,296747,3,1,6065
Bmw,5 SERIES,2018,2.8,Petrol,Semi-automatic,23722,5,5,11825
Hyundai,ELANTRA,2000,1.8,Petrol,Manual,161487,3,5,2670
Ford,FOCUS,2009,4.1,Petrol,Automatic,99562,5,2,10408
Kia,OPTIMA,2018,1.9,Electric,Manual,107386,5,4,11252
Volkswagen,GOLF,2021,4.0,Diesel,Automatic,32991,5,3,15240
Audi,A3,2017,1.7,Diesel,Manual,156940,4,2,7761
Toyota,CAMRY,2007,2.2,Diesel,Manual,87444,4,4,6651
Bmw,5 SERIES,2009,1.4,Petrol,Manual,232049,3,2,3559
Ford,FOCUS,2009,1.2,Hybrid,Automatic,114668,2,4,8206
Toyota,CAMRY,2017,4.8,Electric,Semi-automatic,297176,4,2,10056
Hyundai,SONATA,2011,4.1,Hybrid,Semi-automatic,138965,4,4,9720
Volkswagen,TIGUAN,2006,4.4,Petrol,Automatic,251894,2,4,6762
Toyota,COROLLA,2006,2.8,Diesel,Semi-automatic,174551,4,5,5208
Bmw,5 SERIES,2011,3.0,Petrol,Automatic,260151,5,1,6696
Chevrolet,MALIBU,2006,2.8,Petrol,Manual,253372,2,4,3632
Mercedes,GLA,2010,1.9,Hybrid,Manual,99563,3,5,8008
Ford,FIESTA,2014,3.9,Electric,Automatic,267949,3,2,10341
Bmw,X5,2010,4.6,Diesel,Manual,79663,5,5,10106
Toyota,RAV4,2013,3.5,Electric,Automatic,85640,3,4,13287
Mercedes,E-CLASS,2001,4.4,Hybrid,Automatic,1937,4,4,11261
Ford,FIESTA,2014,3.2,Petrol,Automatic,253316,3,5,7933
Mercedes,E-CLASS,2007,3.2,Diesel,Semi-automatic,203452,2,4,5330
Hyundai,ELANTRA,2022,4.2,Electric,Manual,181600,3,3,13268
Bmw,X5,2002,2.9,Petrol,Manual,296864,4,2,2000
Kia,SPORTAGE,2014,1.4,Hybrid,Semi-automatic,262641,4,1,5447
Audi,Q5,2023,4.7,Electric,Automatic,222000,3,3,14760
Ford,FOCUS,2006,4.6,Petrol,Automatic,98002,5,4,10039
Kia,SPORTAGE,2000,3.4,Hybrid,Manual,131933,4,1,5861
Bmw,X5,2001,4.6,Diesel,Manual,287045,4,4,3259
Chevrolet,MALIBU,2008,2.5,Petrol,Semi-automatic,215987,5,3,4680
Honda,CR-V,2009,2.8,Diesel,Manual,201403,3,5,5571
Bmw,3 SERIES,2021,3.9,Petrol,Manual,263073,4,3,9038
Audi,A3,2021,4.4,Diesel,Semi-automatic,91956,2,2,12960
Kia,SPORTAGE,2021,1.3,Hybrid,Manual,197902,5,5,8741
Toyota,RAV4,2006,1.0,Diesel,Automatic,107474,4,5,6250
Bmw,5 SERIES,2011,1.1,Diesel,Automatic,178039,3,1,6439
Bmw,5 SERIES,2009,4.0,Electric,Automatic,84645,2,2,12607
Kia,OPTIMA,2020,4.1,Hybrid,Semi-automatic,118504,2,4,12829
Honda,ACCORD,2009,2.7,Petrol,Manual,217224,4,5,5155
Toyota,CAMRY,2002,2.6,Petrol,Automatic,118041,3,4,6439
Audi,A4,2020,4.3,Diesel,Semi-automatic,186962,3,5,10660
Mercedes,GLA,2023,1.3,Electric,Semi-automatic,78961,5,2,12720
Mercedes,GLA,2010,1.0,Hybrid,Manual,296156,5,1,3176
Toyota,RAV4,2019,2.0,Petrol,Automatic,232074,3,5,8658
Ford,EXPLORER,2001,2.3,Electric,Manual,38542,5,2,7929
Bmw,X5,2010,2.9,Diesel,Automatic,295058,5,1,5598
Toyota,CAMRY,2013,2.2,Hybrid,Manual,262285,4,4,5954
Ford,EXPLORER,2008,3.9,Electric,Semi-automatic,225838,5,3,7883
Chevrolet,EQUINOX,2023,3.0,Hybrid,Automatic,230795,5,4,11884
Chevrolet,MALIBU,2008,2.5,Petrol,Manual,94729,5,3,7105
Mercedes,C-CLASS,2022,3.1,Petrol,Automatic,282199,2,2,9656
Audi,A3,2006,2.6,Diesel,Automatic,282423,5,5,4351
Mercedes,C-CLASS,2004,4.0,Diesel,Manual,191859,3,5,5462
Ford,FIESTA,2004,2.2,Hybrid,Automatic,256459,4,5,4870
Kia,SPORTAGE,2021,2.1,Electric,Semi-automatic,74107,5,4,13017
Volkswagen,GOLF,2019,3.9,Petrol,Manual,230974,5,3,9080
Bmw,5 SERIES,2016,1.7,Petrol,Manual,56150,3,1,9477
Mercedes,C-CLASS,2010,4.7,Diesel,Semi-automatic,256100,3,2,6678
Volkswagen,GOLF,2006,2.7,Hybrid,Automatic,9512,2,1,10909
Audi,A3,2011,4.8,Petrol,Automatic,80241,2,3,12095
Audi,A4,2021,4.7,Diesel,Semi-automatic,150713,2,4,12085
Audi,Q5,2018,1.7,Electric,Semi-automatic,207019,2,3,9059
Audi,A3,2023,3.2,Petrol,Semi-automatic,163039,3,3,10939
Toyota,COROLLA,2000,2.0,Diesel,Manual,145101,3,5,3197
Ford,FOCUS,2016,1.4,Petrol,Semi-automatic,278559,5,4,4728
Hyundai,ELANTRA,2017,4.2,Diesel,Automatic,269154,3,2,9516
Kia,SPORTAGE,2010,2.3,Petrol,Manual,62065,2,2,8158
Audi,Q5,2023,1.9,Diesel,Manual,52679,5,3,11846
Toyota,CAMRY,2014,1.0,Petrol,Manual,177766,3,2,5744
Honda,CIVIC,2007,1.6,Electric,Manual,158154,3,4,6636
Chevrolet,IMPALA,2021,1.3,Electric,Automatic,52051,5,1,14158
Toyota,CAMRY,2023,1.5,Diesel,Manual,117049,2,5,10159
Toyota,CAMRY,2000,1.8,Electric,Automatic,271405,4,4,3971
Hyundai,SONATA,2010,2.6,Hybrid,Semi-automatic,260006,3,3,5499
Toyota,RAV4,2012,1.7,Petrol,Manual,234785,3,1,4704
Kia,OPTIMA,2009,1.6,Electric,Automatic,222076,5,4,7458
Volkswagen,PASSAT,2002,1.8,Petrol,Manual,194835,3,3,2603
Ford,FOCUS,2013,2.0,Diesel,Automatic,145970,2,2,8580
Ford,FIESTA,2011,1.4,Hybrid,Automatic,30785,4,3,10684
Audi,Q5,2015,3.7,Diesel,Semi-automatic,57196,3,1,11156
Kia,SPORTAGE,2019,4.0,Diesel,Semi-automatic,50680,3,4,12786
Toyota,RAV4,2001,4.7,Diesel,Semi-automatic,230052,2,3,4498
Honda,CIVIC,2019,4.2,Petrol,Manual,273193,2,4,8536
Hyundai,ELANTRA,2003,4.4,Hybrid,Semi-automatic,169451,2,2,7010
Bmw,X5,2020,2.2,Electric,Automatic,286174,4,5,10076
Chevrolet,MALIBU,2004,4.9,Diesel,Manual,242712,5,4,5345
Hyundai,ELANTRA,2014,3.4,Electric,Manual,227371,4,5,9152
Kia,OPTIMA,2002,1.7,Diesel,Manual,79442,4,2,4811
Toyota,COROLLA,2005,3.2,Petrol,Automatic,29885,2,2,9702
Volkswagen,TIGUAN,2008,4.3,Diesel,Semi-automatic,261478,4,5,5570
Kia,OPTIMA,2010,1.2,Petrol,Automatic,170847,4,4,6383
Bmw,X5,2001,4.1,Electric,Semi-automatic,87221,5,4,8755
Mercedes,C-CLASS,2014,2.9,Petrol,Manual,217980,4,4,6840
Volkswagen,PASSAT,2010,4.1,Electric,Automatic,71288,5,2,13274
Bmw,5 SERIES,2016,4.5,Diesel,Manual,91092,2,1,11578
Honda,CIVIC,2020,4.4,Petrol,Semi-automatic,24913,3,3,14001
Kia,SPORTAGE,2000,4.2,Hybrid,Semi-automatic,155444,3,5,6191
Mercedes,E-CLASS,2014,2.5,Electric,Semi-automatic,171683,3,2,9366
Honda,CR-V,2015,4.8,Diesel,Automatic,295428,3,5,8991
Volkswagen,GOLF,2010,3.9,Petrol,Automatic,207380,2,5,8352
Mercedes,C-CLASS,2012,1.5,Electric,Automatic,89226,5,5,10915
Bmw,3 SERIES,2001,4.6,Hybrid,Manual,79217,4,4,8415
Mercedes,E-CLASS,2010,3.3,Diesel,Automatic,297971,2,3,5940
Ford,FIESTA,2011,3.5,Diesel,Semi-automatic,178950,2,3,7321
Audi,A3,2017,3.4,Electric,Automatic,148880,3,5,13122
Honda,ACCORD,2013,1.7,Petrol,Semi-automatic,23936,4,4,9221
Audi,Q5,2002,2.1,Electric,Manual,68076,4,1,7438
Chevrolet,MALIBU,2015,2.9,Diesel,Automatic,144743,2,3,10105
Kia,RIO,2014,4.4,Diesel,Semi-automatic,90279,3,5,10894
Audi,A3,2018,2.5,Diesel,Semi-automatic,56429,2,1,10871
Audi,A3,2014,2.9,Diesel,Automatic,1197,2,5,12676
Mercedes,C-CLASS,2021,1.9,Petrol,Automatic,200177,2,2,9796
Chevrolet,MALIBU,2022,3.0,Diesel,Manual,5679,2,4,13586
Bmw,3 SERIES,2011,3.3,Hybrid,Manual,14586,4,1,11408
Kia,SPORTAGE,2001,3.6,Hybrid,Semi-automatic,202216,3,3,4955
Bmw,5 SERIES,2002,4.8,Petrol,Manual,249673,5,1,4506
Chevrolet,IMPALA,2011,1.7,Diesel,Manual,39156,3,1,8316
Volkswagen,GOLF,2010,4.5,Electric,Semi-automatic,68014,3,2,12239
Ford,FOCUS,2008,2.4,Petrol,Manual,126868,5,3,6362
Mercedes,E-CLASS,2010,3.0,Electric,Manual,258632,4,5,6927
Ford,FIESTA,2021,4.3,Hybrid,Semi-automatic,201170,3,5,11676
Audi,A3,2019,2.9,Hybrid,Manual,13569,2,3,13428
Bmw,3 SERIES,2020,2.1,Diesel,Semi-automatic,191301,3,1,8373
Kia,SPORTAGE,2002,4.4,Petrol,Semi-automatic,169424,3,3,5711
Bmw,X5,2010,2.9,Petrol,Manual,63026,2,5,8739
Chevrolet,MALIBU,2001,4.8,Electric,Semi-automatic,145630,2,1,8287
Audi,Q5,2003,3.7,Diesel,Automatic,44024,4,4,9319
Audi,Q5,2022,1.2,Electric,Manual,122902,2,3,11441
Audi,A3,2012,4.0,Electric,Semi-automatic,92692,3,2,11846
Chevrolet,EQUINOX,2020,2.9,Petrol,Automatic,22360,2,5,14052
Mercedes,E-CLASS,2018,3.4,Diesel,Manual,53596,5,1,11828
Honda,ACCORD,2000,3.6,Electric,Semi-automatic,45737,5,1,8785
Kia,SPORTAGE,2020,3.0,Hybrid,Automatic,98160,2,5,13636
Chevrolet,IMPALA,2018,4.0,Petrol,Manual,253702,3,4,8425
Ford,EXPLORER,2006,1.5,Hybrid,Semi-automatic,94715,5,2,6505
Volkswagen,PASSAT,2005,1.4,Diesel,Semi-automatic,1841,2,2,6963
Kia,OPTIMA,2021,1.6,Diesel,Semi-automatic,109050,2,5,9819
Bmw,5 SERIES,2008,4.4,Hybrid,Semi-automatic,236894,2,1,7162
Toyota,COROLLA,2016,4.4,Electric,Automatic,256691,4,1,11666
Ford,EXPLORER,2006,1.6,Hybrid,Semi-automatic,235768,5,2,3784
Mercedes,C-CLASS,2003,4.4,Hybrid,Manual,88089,3,3,8638
Honda,CR-V,2007,3.8,Electric,Automatic,160230,4,2,10295
Mercedes,E-CLASS,2000,1.1,Diesel,Manual,233776,2,3,2000
Chevrolet,EQUINOX,2015,1.3,Hybrid,Semi-automatic,117006,3,5,8559
Ford,FIESTA,2005,4.7,Diesel,Semi-automatic,295379,2,2,4392
Chevrolet,IMPALA,2019,2.5,Hybrid,Manual,299406,3,1,7311
Ford,EXPLORER,2011,1.4,Petrol,Semi-automatic,182197,4,3,5156
Volkswagen,TIGUAN,2015,1.4,Electric,Semi-automatic,235687,2,2,7286
Volkswagen,PASSAT,2005,1.6,Electric,Automatic,293339,5,1,4833
Audi,A3,2008,3.5,Diesel,Manual,79861,4,1,8402
Mercedes,C-CLASS,2020,1.9,Petrol,Semi-automatic,288000,4,5,6240
Kia,RIO,2022,1.6,Diesel,Automatic,295898,3,1,7882
Toyota,RAV4,2005,2.5,Hybrid,Semi-automatic,239287,4,1,4314
